,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus,structure_quality,SALE_PRC
12356,5000,2726,38983,7770.8,61942.4,45191.9,91435.5,49379.3,24970.7,10,0,4,432000.0
7612,6000,3067,0,10009.9,33309.8,797.8,62716.7,62716.7,2937.8,9,0,2,325000.0
4447,19122,4886,39925,3155.2,24140.3,14871.6,53475.7,6359.7,2907.8,27,0,5,950000.0
12215,4428,2193,0,13640.9,58796.7,39184.6,85470.4,44395.4,19851.8,24,0,4,325000.0
4026,20008,4095,31328,5232.9,1506.1,884.9,30504.2,13061.0,19041.6,10,0,5,2100000.0
11545,5500,1738,3468,7437.1,49615.2,17935.4,65220.8,36697.8,1617.9,32,0,4,320000.0
4722,7500,2308,820,2579.4,9772.0,872.7,38291.2,13083.3,13073.5,47,0,4,700000.0
9329,20133,3686,43020,14243.5,5622.0,4686.4,79984.1,35141.7,13673.7,0,0,4,625000.0
10596,23105,2826,39852,15816.3,33622.4,25993.6,127118.0,77576.6,8303.3,14,0,2,323000.0
1793,6650,1363,4850,7860.1,26016.1,2986.7,38864.0,38864.0,2866.4,66,0,2,160000.0
1692,9150,1265,1898,6336.4,26636.9,5633.9,34221.2,34221.2,2380.3,41,0,4,370000.0
4165,7493,2188,2978,5171.5,11220.0,1775.7,29109.2,5504.3,15688.9,90,0,5,735000.0
7136,7500,1297,952,10873.8,43450.8,2952.1,60703.5,60703.5,3124.3,42,0,5,185000.0
12885,6371,2625,3192,14596.8,46959.7,39664.4,85878.2,38602.7,13635.5,29,0,4,332000.0
493,8625,1621,40830,6524.6,23157.7,474.5,41593.9,41593.9,5577.6,17,0,4,445000.0
12656,9278,2206,26110,7751.6,53220.3,43228.6,94595.6,47151.0,22015.5,18,0,4,425000.0
157,9714,1871,3115,7202.2,20980.5,3434.3,47500.9,46101.7,7911.1,21,0,4,241000.0
10279,3712,1537,0,16896.1,28681.2,17379.6,134697.0,86754.1,3413.7,10,0,2,205000.0
12187,4197,1961,1360,9925.2,60589.7,43036.3,89261.5,47447.1,23206.1,18,0,4,305000.0
9245,7150,2905,0,17104.2,4006.0,2067.1,81012.8,37317.8,14906.2,9,0,2,405000.0
4617,38333,3223,38956,4117.8,21676.2,15452.2,57647.6,6597.5,3996.7,38,0,2,640000.0
5318,8400,1246,0,8300.3,16436.9,6818.3,80988.9,31492.6,6502.7,33,0,2,130000.0
8138,13518,1864,23408,7810.7,27829.6,8960.4,101517.2,51508.8,12451.1,15,0,2,300000.0
2287,6250,1151,1335,4811.9,27096.5,6195.9,18185.3,18185.3,1161.3,13,0,2,187500.0
6584,30100,3383,0,6017.8,32959.2,1477.0,45379.4,24375.2,3229.0,41,0,4,580000.0
7066,8400,2195,29904,17997.1,62685.4,4497.8,61920.6,60225.3,3817.8,45,0,5,411700.0
965,7500,1268,1769,4935.4,39949.2,1575.8,54775.1,54775.1,2088.3,66,0,4,152000.0
5174,16000,3006,31984,7616.8,6811.4,4760.1,64904.6,19353.7,15612.7,15,0,4,760000.0
5927,6593,2427,30306,10184.7,38735.1,27584.2,70300.6,23969.1,219.9,28,0,2,360000.0
2252,6800,1975,1254,5346.0,28376.3,8732.2,18851.4,18851.4,1343.4,45,0,1,135000.0
13198,5237,2519,0,1640.4,28136.3,20437.2,80370.7,29339.5,267.0,14,0,4,310000.0
2578,6431,2257,6083,16153.0,5318.6,573.2,33171.0,22219.2,14083.9,79,0,4,470000.0
438,5750,1419,962,3196.9,18617.3,789.5,60815.0,57493.4,3001.0,41,0,2,237000.0
13505,12103,2518,35076,6680.8,43712.6,28036.0,99668.8,48845.2,19100.8,24,0,2,370000.0
3844,6250,2341,42541,2115.0,1150.7,1162.3,20233.7,9660.2,8928.9,7,0,5,1195000.0
1614,12160,2104,3386,2720.0,24626.1,2424.3,30320.8,30320.8,4593.3,76,0,4,605000.0
4168,5000,1431,2188,2691.7,8158.5,3669.6,25754.1,3673.9,16107.7,8,0,5,616000.0
12554,5363,2297,0,6962.1,56628.8,48055.2,93393.4,47819.4,22902.8,10,0,4,345000.0
3573,5000,2506,28478,9267.8,17863.0,7283.8,29289.2,7705.3,8950.2,15,0,5,825000.0
4972,18850,2370,22961,7463.1,11195.5,5253.1,78628.4,30651.0,10352.5,26,0,2,469000.0
8672,5147,2492,2391,5944.4,17923.2,6161.6,101729.2,53612.2,5382.0,1,0,4,334900.0
12174,5007,2033,334,18057.4,57704.9,34614.3,81129.7,41523.2,16053.6,32,0,4,275000.0
467,7301,1806,0,7358.9,24946.2,1619.0,39885.0,39885.0,3849.3,40,0,2,236400.0
4965,15038,1901,29416,8670.8,6508.4,6398.0,75879.1,29659.1,14522.6,46,0,2,380000.0
756,8100,1138,1253,8683.0,32451.5,5431.1,40146.8,40146.8,3553.6,61,0,2,164900.0
5778,9425,1939,2835,629.7,27705.1,25741.6,67844.6,17468.8,386.8,34,0,2,398000.0
2688,10054,4117,34925,20429.6,1574.8,280.4,25161.4,7628.2,3145.0,26,0,5,2280000.0
1090,5520,1431,840,4422.4,45493.9,10828.3,39268.9,39054.7,16080.2,18,0,4,260000.0
13340,4991,1736,1360,516.6,41029.6,28265.4,93822.0,43219.3,14746.7,17,0,4,295000.0
7518,7500,1754,27344,10127.0,38208.6,3773.9,64698.4,64698.4,2271.4,50,0,4,173000.0
13717,3956,1408,6048,407.8,38808.1,20604.4,99876.2,48811.8,16104.9,18,0,4,240000.0
10980,7500,1144,3061,20489.0,69419.3,928.1,72058.7,69757.2,3690.3,55,0,4,265000.0
9869,7875,918,1520,21267.3,28042.6,19889.2,126010.7,77330.7,2605.8,18,0,2,135000.0
1374,8100,2159,1735,734.5,41515.3,10720.7,34223.0,34223.0,14743.4,62,0,4,250000.0
4828,14985,2378,22586,7646.0,10221.5,5944.5,59579.5,14412.0,11041.3,50,0,4,715000.0
1862,10868,1942,627,218.9,18418.0,1543.1,36551.4,34567.2,10560.2,46,0,2,240000.0
8881,8667,2922,0,10962.6,11222.7,3488.8,93009.8,47402.2,5748.9,11,0,2,299500.0
13072,7500,1660,21882,11574.1,40178.3,34422.4,80493.3,32050.2,6888.4,37,0,4,344500.0
12384,8250,1545,1005,15162.4,52699.7,40300.5,85012.0,40739.7,15985.6,15,0,4,316000.0
4246,10800,2328,30502,3855.1,10732.0,6120.2,44032.9,8410.3,9369.8,6,0,4,908400.0
12453,7500,1906,27081,14518.5,42793.5,31703.3,74786.2,29139.2,4486.2,43,0,4,385000.0
7893,7500,1174,3253,20190.2,50598.2,2162.4,70191.9,70191.9,5660.9,45,0,5,179000.0
1878,9375,1476,686,1510.1,20103.3,990.7,37076.1,35990.0,8887.9,30,0,4,460000.0
13467,5170,2648,3520,205.2,48942.7,35837.9,99269.3,49383.2,22331.9,0,0,4,462800.0
13275,4400,2162,17125,2411.0,39110.5,25766.5,94057.3,43193.4,13608.8,35,0,4,297500.0
7278,12060,2368,23699,3285.4,13858.2,1449.1,60745.6,60426.2,2899.9,54,0,4,485000.0
1119,5000,1723,5022,950.3,45735.6,10011.2,38593.3,38593.3,18017.6,12,0,4,277000.0
5380,8175,2236,26706,9253.4,19901.2,10467.6,81107.2,30749.5,3528.6,44,0,2,221800.0
10879,55321,4420,34289,10277.2,59522.4,28989.0,128728.3,77742.8,36922.9,32,0,4,430000.0
13721,3972,1578,996,1111.5,37799.0,19850.3,98963.7,47905.7,15091.0,19,0,4,265000.0
9666,6120,1601,1840,16742.2,23130.7,17298.4,113460.4,64872.1,2239.1,1,0,2,227200.0
13244,2250,1624,0,414.1,34812.2,23332.1,88113.9,37230.8,8136.1,16,0,4,259000.0
12494,12920,2034,8794,16994.2,48948.7,39855.2,83487.4,37911.0,12991.5,45,0,4,375000.0
11264,8600,5770,37122,18276.8,71290.0,1204.7,72223.2,69112.4,3822.1,25,0,4,710000.0
10020,4137,1432,3110,11244.0,34473.8,23021.6,140675.0,92257.5,2894.1,28,0,2,148500.0
4128,8400,1849,0,1936.1,8075.9,576.1,28831.0,6732.8,17468.5,34,0,4,775000.0
4292,9975,2251,6179,1578.9,15960.4,5832.7,43189.1,7829.0,6583.9,11,0,4,620000.0
2928,7500,2362,1114,5570.6,9000.6,4157.7,8340.7,8340.7,4849.9,91,0,1,265000.0
1432,5000,873,1760,291.2,34037.5,6475.6,25107.7,25107.7,5616.7,38,0,2,75000.0
6341,16140,2403,26008,15190.4,44835.7,17203.4,63676.7,29448.3,530.5,48,0,4,371000.0
6554,4320,1651,2055,6757.0,35785.3,2368.1,49629.4,28160.2,6309.2,32,0,5,352000.0
11347,3405,1423,4872,8446.8,65918.5,7076.7,61780.5,56214.3,3499.5,26,0,5,260000.0
4754,10000,2120,726,4541.8,4241.4,657.1,33200.2,14381.5,18322.9,65,0,5,995900.0
2174,5060,1290,2208,310.9,26127.7,6553.2,19600.7,19600.7,460.0,68,0,1,120000.0
9281,14605,4967,15652,16448.2,3520.0,2099.6,79997.1,36355.9,15449.6,11,0,2,705000.0
2102,6780,1227,3374,2499.8,32812.1,1861.0,28781.2,25395.5,4060.4,38,1,4,220000.0
12262,5251,1679,35392,9173.5,64163.5,43600.3,90364.8,50100.7,24032.9,8,0,4,340000.0
6424,7500,2158,39088,11935.1,36589.3,7359.6,53654.1,25723.1,10374.1,49,0,4,427500.0
2656,10240,1827,29985,17330.3,4737.0,781.9,24914.8,11195.0,3044.4,56,0,4,1025000.0
10477,6355,2102,33994,20667.7,26203.7,16149.6,128733.5,80684.7,744.2,12,0,2,225000.0
1934,5400,1959,0,1561.5,21055.4,1024.1,22120.3,22120.3,7402.6,8,0,5,800000.0
6878,7679,2471,3486,8628.1,62989.1,13260.9,65743.9,52536.3,3290.0,10,0,4,434900.0
5692,6351,1350,0,1276.5,29863.8,25349.6,76381.6,25758.8,443.6,29,0,4,250000.0
8267,7561,1463,1778,6288.9,27525.2,7105.4,96387.0,46414.7,7928.9,9,0,4,255000.0
13876,7800,1207,5188,5818.1,25634.5,10996.6,89010.7,38432.0,2878.0,56,0,2,180000.0
7731,7500,1392,1265,15988.3,49457.8,1672.7,65097.9,65097.9,5814.9,38,0,5,217500.0
5572,15480,4099,39778,5583.7,23294.8,18556.7,76083.7,25034.8,4914.2,28,0,4,595000.0
6149,10250,1756,1952,7490.7,33977.7,12438.6,55769.5,17920.2,8144.5,64,0,4,320000.0
758,6411,1022,3000,9109.2,32027.5,5869.4,40074.7,40074.7,3128.5,26,0,2,160000.0
8864,4340,1606,0,9718.7,11995.0,2411.6,94078.3,48035.9,4250.4,17,0,4,225000.0
829,11250,2312,5081,1965.4,39425.6,209.9,45522.6,45522.6,10618.0,52,0,4,244000.0
